Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue
SRR16918941,RNA-Seq,308,1958889856,PRJNA779703,SAMN23070862,895395650,Germinal Center B cells,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX13111265,GSM5686881,GC donor 3,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:14:00Z,1,GSM5686881,Tonsil,SRP345635,Tonsil
SRR16918942,RNA-Seq,308,1894175052,PRJNA779703,SAMN23070862,865984558,Germinal Center B cells,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX13111265,GSM5686881,GC donor 3,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:14:00Z,1,GSM5686881,Tonsil,SRP345635,Tonsil
SRR16918943,RNA-Seq,308,1842337112,PRJNA779703,SAMN23070862,857829499,Germinal Center B cells,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX13111265,GSM5686881,GC donor 3,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:14:00Z,1,GSM5686881,Tonsil,SRP345635,Tonsil
SRR16918944,RNA-Seq,308,1858160920,PRJNA779703,SAMN23070862,868281235,Germinal Center B cells,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX13111265,GSM5686881,GC donor 3,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:14:00Z,1,GSM5686881,Tonsil,SRP345635,Tonsil
SRR16918945,RNA-Seq,308,1557735256,PRJNA779703,SAMN23070863,719763419,Light zone germinal center B cells,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX13111266,GSM5686882,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686882,Tonsil,SRP345635,Tonsil
SRR16918946,RNA-Seq,308,1544527292,PRJNA779703,SAMN23070863,706897410,Light zone germinal center B cells,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX13111266,GSM5686882,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686882,Tonsil,SRP345635,Tonsil
SRR16918947,RNA-Seq,308,1592468724,PRJNA779703,SAMN23070863,744775462,Light zone germinal center B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX13111266,GSM5686882,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:10:00Z,1,GSM5686882,Tonsil,SRP345635,Tonsil
SRR16918948,RNA-Seq,308,1586771032,PRJNA779703,SAMN23070863,736782292,Light zone germinal center B cells,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX13111266,GSM5686882,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686882,Tonsil,SRP345635,Tonsil
SRR16918949,RNA-Seq,308,2074400636,PRJNA779703,SAMN23070864,944258264,Light zone germinal center B cells,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX13111267,GSM5686883,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:14:00Z,1,GSM5686883,Tonsil,SRP345635,Tonsil
SRR16918950,RNA-Seq,308,2013570328,PRJNA779703,SAMN23070864,917394788,Light zone germinal center B cells,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX13111267,GSM5686883,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:14:00Z,1,GSM5686883,Tonsil,SRP345635,Tonsil
SRR16918951,RNA-Seq,308,1963796912,PRJNA779703,SAMN23070864,911097710,Light zone germinal center B cells,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX13111267,GSM5686883,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:15:00Z,1,GSM5686883,Tonsil,SRP345635,Tonsil
SRR16918952,RNA-Seq,308,1973445936,PRJNA779703,SAMN23070864,918645529,Light zone germinal center B cells,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX13111267,GSM5686883,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:04:00Z,1,GSM5686883,Tonsil,SRP345635,Tonsil
SRR16918953,RNA-Seq,210,89753974170,PRJNA779703,SAMN23070851,31809950585,Dark zone germinal center B cells,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX13111268,GSM5686870,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T17:48:00Z,1,GSM5686870,Tonsil,SRP345635,Tonsil
SRR16918955,RNA-Seq,210,111712100640,PRJNA779703,SAMN23070853,42060247561,Germinal Center B cells,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX13111270,GSM5686872,GC donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T19:49:00Z,1,GSM5686872,Tonsil,SRP345635,Tonsil
SRR16918956,RNA-Seq,210,66882440520,PRJNA779703,SAMN23070854,23797169966,Germinal Center B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX13111257,GSM5686873,GC donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T16:32:00Z,1,GSM5686873,Tonsil,SRP345635,Tonsil
SRR16918957,RNA-Seq,119,43492399293,PRJNA779703,SAMN23070855,14147432795,Germinal Center B cells,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX13111258,GSM5686874,GC donor 3,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T17:10:00Z,1,GSM5686874,Tonsil,SRP345635,Tonsil
SRR16918958,RNA-Seq,210,76808690910,PRJNA779703,SAMN23070856,27240427903,Light zone germinal center B cells,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX13111259,GSM5686875,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T18:55:00Z,1,GSM5686875,Tonsil,SRP345635,Tonsil
SRR16918959,RNA-Seq,119,51292846913,PRJNA779703,SAMN23070857,16678608774,Light zone germinal center B cells,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX13111260,GSM5686876,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T18:44:00Z,1,GSM5686876,Tonsil,SRP345635,Tonsil
SRR16918960,RNA-Seq,308,1701854616,PRJNA779703,SAMN23070858,788099370,Dark zone germinal center B cells,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX13111261,GSM5686877,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686877,Tonsil,SRP345635,Tonsil
SRR16918961,RNA-Seq,308,1679989388,PRJNA779703,SAMN23070858,771285887,Dark zone germinal center B cells,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13111261,GSM5686877,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686877,Tonsil,SRP345635,Tonsil
SRR16918954,RNA-Seq,119,56224397789,PRJNA779703,SAMN23070852,18233462468,Dark zone germinal center B cells,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX13111269,GSM5686871,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T17:15:00Z,1,GSM5686871,Tonsil,SRP345635,Tonsil
